index,name ,mood,year,artist,lyrics
1,Om Sarvani,Devotional,2014,M.M.Mansi,ఓం సర్వాణి ఓం రుద్రాణి ఓం ఆర్యని వందనం ఓం కళ్యాణి ఓం బ్రాహ్మణి ఓం గీర్వాణి వందనం ఓం సర్వాణి ఓం రుద్రాణి ఓం ఆర్యని వందనం ఓం కళ్యాణి ఓం బ్రాహ్మణి ఓం గీర్వాణి వందనం పావని జీవ తరణి పాప సంతాప హారని నీ కృపా చైత్ర సుధని మాపైనే వర్షించనీ సంభవి లోక జనని త్రిభువనానంద కారిణి చింతలవ్వంతగానని చిరా శాంతి విరాజిల్లనీ శ్రీ చక్రాన అమ్మవై వున్నా ఆదినారాయని నీ వాత్సల్యం ఆస్వాదించనీ మనసుని ఓం సర్వాణి ఓం రుద్రాణి ఓం ఆర్యని వందనం ఓం కళ్యాణి ఓం బ్రాహ్మణి ఓం గీర్వాణి వందనం సజ్జన రంజని దుర్జన భంజని ధర్మ శిరోమణి హైమావతి సత్య సుభాషిణి నిత్య సువాసిని సరసిజ హాసిని శంభుసతి ఆ విశ్వ వినోదిని భక్త ప్రమోదిని భాగ్య ప్రదాయని శాంతినిథి ఆత్మ విలాసిని అర్థ పరాయని అమృత వర్షిణి వేదవతి సూలా దారిని శైల విహారిణి మా పాహి దేవి చిదానంద రూపిని ఓం సర్వాణి ఓం రుద్రాణి ఓం ఆర్యని వందనం ఓం కళ్యాణి ఓం బ్రాహ్మణి ఓం గీర్వాణి వందనం భగవతి భార్గవి భైరవి భ్రామరీ మారి మనోహరి ముకాంబే భక్తవ శాంకరి భావనా శాంకరి పరమ శివంకరీ దుర్గంబే ఆ ఓంకారేశ్వర వార బీజ
2,Omkareswari,Devotional,2011,"Shankar Mahadevan,M.M.Keeravani",హరి ఓం హరి ఓం హరి ఓం హరి ఓం హరి ఓం హరి ఓం హరి ఓం హరి ఓం హరి ఓం హరి ఓం హరి ఓం ఓంకారేశ్వరి శ్రీ హరి నగరి ఇదిగో రా బదరి హరి ఓం హరి ఓం వైకుంటేశ్వరి సిరికి నగరి అదిగో మహిమ గిరి నీ కొండపై మాకండగా ఆ విష్ణు పాదమే వెలసింది వేదాలనే విభజించిన శ్రీ వ్యాస పీఠమై విరిసింది అలకనంద జల సంగీతం శ్రీ హరి నామం ఉష్ణ కుండ జల ధారలలో హరి భక్తుల స్నానం ధ్యానం మోక్షం ఒసగే వైకుంఠం హరి ఓం హరి ఓం హరి ఓం హరి ఓం హరి ఓం హరి ఓం హరి ఓం హరి ఓం హరి ఓం హరి ఓం హరి ఓం హరి ఓం హరి ఓం హరి ఓం ఓంకారేశ్వరి శ్రీ హరి నగరి ఇదిగో రా బదరి హరి ఓం హరి ఓం వైకుంటేశ్వరి సిరికి నగరి అదిగో మహిమ గిరి జై భోలో బద్రీనాథ్ జై భోలో భోల్ల్ జై భోలో బద్రీనాథ్ జై భోలో భోల్ల్ హరి పాదం అడుగున గంగ కలి పాపం తను కడగంగా హరి పాదం అడుగున గంగ కలి పాపం తను కడగంగా కనులే కనలేనివిరజానవీ ఇలా దిగి రాగ కలల కనిపించే జల ధార సరస్వతి పొంగ సుడులు తిరిగి వడిగా ఉరుకులెత్తగా చెడులు
3,Bham Bham Bole,Devotional,2002,"Shankar Mahadevan,Hariharan",భంభం భోలే శంఖం మోగేలే ఢంఢం ఢోలే చలరేగిందిలే భంభం భోలే శంఖం మోగేలే ఢంఢం ఢోలే చలరేగిందిలే దద్ధినక ధిన్ దరువై సందడి రేగనీ పొద్దులెరుగని పరుగై ముందుకు సాగనీ దద్ధినక ధిన్ దరువై సందడి రేగనీ పొద్దులెరుగని పరుగై ముందుకు సాగనీ విలాసంగా శివానందలహరి మహగంగ ప్రవాహంగా మారి విశాలాక్షి సమేతంగ చేరీ వరాలిచ్చె కాశీపురీ భంభం భోలే శంఖం మోగేలే ఢంఢం ఢోలే చలరేగిందిలే దద్ధినక ధిన్ దరువై సందడి రేగనీ పొద్దులెరుగని పరుగై ముందుకు సాగనీ విలాసంగా శివానందలహరి మహగంగ ప్రవాహంగా మారి విశాలాక్షి సమేతంగ చేరీ వరాలిచ్చె కాశీపురీ భంభం భోలే భంభం భోలే భంభం భోలే భోలేనాథ్ భంభం భోలే భంభం భోలే భంభం భోలే భోలేనాథ్ భోలే నాచే చంకుచమాచం భోలే నాచే చంకుచమాచం ఢమరూ భాజే ఢమరూ భాజే ఢమరూ భాజే ఢంఢమాఢం భోలే నాచే చంకుచమాచం భోలే నాచే చంకుచమాచం వారణాసిని వర్ణించే నా గీతికా నాటి శ్రీనాధుని కవితై వినిపించగా ముక్తికే మార్గం చూపే మణికర్ణికా అల్లదే అంది నా ఈ చిరు ఘంటిక నమక గమకాలై ఎద లయలే కీర్తన చేయగా జమక గమకాలై పద గతులే నర్తన చేయగా ప్రత
4,Shiva Shiva Shankara,Devotional,2012,Shankar Mahadevan,భం భం భో … భం భం భో భం భం భో … భం భం భో భం భం భో … భం భం భో భం భం భో … భం భం భో సర్ప ప్రావిత దర్ప ప్రాభవ విప్ర ప్రేరిత పరా దిక్పూర ప్రద కర్పూర ప్రభ అర్పింతు శంకరా సర్ప ప్రావిత దర్ప ప్రాభవ విప్ర ప్రేరిత పరా దిక్పూర ప్రద కర్పూర ప్రభ అర్పింతు శంకరా శివ శివ శంకర హర హర శంకర జయ జయ శంకర దిగిరారా ప్రియ తాండవ శంకర ప్రకట శుభంకర ప్రళయ భయంకర దిగిరారా శివ శివ శంకర హర హర శంకర జయ జయ శంకర దిగిరారా ప్రియ తాండవ శంకర ప్రకట శుభంకర ప్రళయ భయంకర దిగిరారా ఓం పరమేశ్వరా పరా… ఓం నిఖిలేశ్వరా హరా ఓం జీవేశ్వరేశ్వరా కనరారా ఓం మంత్రేశ్వరా స్వరా… ఓం యంత్రేశ్వరా స్థిరా ఓం తంత్రేశ్వరా మరా రావేరా శివ శివ శంకర హర హర శంకర జయ జయ శంకర దిగిరారా ప్రియ తాండవ శంకర ప్రకట శుభంకర ప్రళయ భయంకర దిగిరారా సర్ప ప్రావిత దర్ప ప్రాభవ విప్ర ప్రేరిత పరా దిక్పూర ప్రద కర్పూర ప్రభ అర్పింతు శంకరా విశ్వేశ లింగమై కనికరించరా విదిలిఖితమునిక బర బర చెరిపి… అమృతమే కురిపించరా రామేశ లింగమై మహిమ చూపరా పలు శుభములు గని అభయములిడి హితము సతతము అందించరా గ్రహణం నిధనం బాపరా… కాళహస్తి లింగేశ్వరా ప్రాణం
5,Mukundha Mukundha,Devotional,2008,"Himesh Reshmmiya,Sadhana Sargam",ముకుందా ముకుందా కృష్ణా ముకుందా ముకుందా స్వరంలో తరంగా బృందా వనంలో వరంగా వెన్నదొంగవైనా మన్నుతింటివా కన్నెగుండె ప్రేమ లయల మృదంగానివా ముకుందా ముకుందా కృష్ణా ముకుందా ముకుందా స్వరంలో తరంగా బృందా వనంలో వరంగా జీవకోటి నీ చేతి తోలుబొమ్మలే నిన్ను తలచి ఆటలాడే కీలుబొమ్మలే ముకుందా ముకుందా కృష్ణా ముకుందా ముకుందా స్వరంలో తరంగా బృందా వనంలో వరంగా నీలాల నింగి కింద తేలియాడు భూమి తనలోనే చూపించాడు ఈ కృష్ణ స్వామి పడగ విప్పి మడుగునలేచే సర్ప శేర్షమే ఎక్కి నాట్యమాడి కాళీయుని దర్పమణచినాడు నీ ధ్యానం చేయువేళ విఙ్ఞానమేగా అఙ్ఞానం రూపుమాపే కృష్ణ తత్వమేగ అట అర్జునుడొందెను నీ దయవల్ల గీతోపదేశం జగతికి సైతం ప్రాణం పోసే మంత్రోపదేశం వేదాల సారమంతా వాసుదేవుడే రేపల్లె రాగం తానం రాజీవమే హే ముకుందా ముకుందా కృష్ణా ముకుందా ముకుందా స్వరంలో తరంగా బృందా వనంలో వరంగా మత్స్యమల్లే నీటిన తేలి వేదములను కాచి కూర్మరూపధారివి నీవై భువిని మోసినావే వామనుడై పాదమునెత్తి నింగి కొలిచినావువే నరసింహుని అంశే నీవై హిర
6,Kondalalo Nelakonna,Devotional,1997,"Annamayya Keerthana,S.P.Balasubramanyam","కొండలలో నెలకొన్న కోనేటి రాయడు వాడు కొండలంత వరములు గుప్పెడువాడు కొండలలో నెలకొన్న కోనేటి రాయడు వాడు కొండలంత వరములు గుప్పెడువాడు కొండలలో నెలకొన్న కోనేటి రాయడు వాడు కొండలంత వరములు గుప్పెడువాడు కొండలలో నెలకొన్న కోనేటి రాయడు వాడు కొండలంత వరములు గుప్పెడువాడు కుమ్మర దాసుడైన కురువరతినంబి ఇమ్మన్న వరములెల్ల ఇచ్చినవాడు కుమ్మర దాసుడైన కురువరతినంబి ఇమ్మన్న వరములెల్ల ఇచ్చినవాడు దొమ్ములు చేసినయట్టి తొండమాన్ చక్కురవర్తి దొమ్ములు చేసినయట్టి తొండమాన్ చక్కురవర్తి రమ్మన్న చోటికి వచ్చి నమ్మినవాడు దొమ్ములు చేసినయట్టి తొండమాన్ చక్కురవర్తి రమ్మన్న చోటికి వచ్చి నమ్మినవాడు కొండలలో నెలకొన్న కోనేటి రాయడు వాడు కొండలంత వరములు గుప్పెడువాడు కొండలలో నెలకొన్న కోనేటి రాయడు వాడు స గ మ ద ని స, ని ద మ గ స సగమగ మగమద నిసగని మదగమస సగమగ సగసని దని సనిదనిగమ గమగమ గమగస నిసగస నిసదనిసని ససస గగగ మమగ దదద నినినిని దనిస ససస గగగ మమమ దదద నిస గనిస ససస గగగ మమమ దదద నిగ సనిస కొండలలో నెలకొన్న కోనేటి రాయడు వాడు కొండలంత వరములు గుప్పెడువాడు కొ"
7,Om Namah Sivayya,Devotional,1983,S.Janaki,ఓం ఓం ఓం ఓం నమశ్శివాయ ఓం నమశ్శివాయ చంద్రకళాధర సహృదయా చంద్రకళాధర సహృదయా సాంద్ర కళా పూర్ణోదయ లయ నిలయా ఓం ఓం నమశ్శివాయ ఓం నమశ్శివాయ పంచభూతములు ముఖ పంచకమై ఆరు ఋతువులు ఆహార్యములై పంచభూతములు ముఖ పంచకమై ఆరు ఋతువులు ఆహార్యములై ప్రకృతి పార్వతి నీతో నడచిన ఏడు అడుగులే స్వర సప్తకమై స గ మ ద ని స గ ద మ ద ని స గ మ గ గ గ స స స ని గ మ ద స ని ద మ గ స నీ దృక్కులే అటు అష్ట దిక్కులై నీ వాక్కులే నవరసమ్ములై తాపస మందారా ఆ నీ మౌనమే దశోపనిషత్తులై ఇల వెలయా ఓం ఓం ఓం నమశ్శివాయ త్రికాలములు నీ నేత్రత్రయమై చతుర్వేదములు ప్రాకారములై త్రికాలములు నీ నేత్రత్రయమై చతుర్వేదములు ప్రాకారములై గజముఖ షణ్ముఖ ప్రమధాదులు నీ సంకల్పానికి ఋత్విజ వరులై అద్వైతమే నీ ఆది యోగమై నీ లయలే ఈ కాలగమనమై కైలాసగిరివాస నీ గానమే జంత్ర గాత్రముల శ్రుతి కలయ ఓం ఓం ఓం నమశ్శివాయ చంద్రకళాధర సహృదయా చంద్రకళాధర సహృదయా సాంద్ర కళా పూర్ణోదయ లయ నిలయా
8,Sada Siva,Devotional,2010,"Mani Sharama,Ramesh Vinayakiam,Karunya",ఓం నమో శివ రుద్రాయ ఓం నమో శితి కంఠాయ ఓం నమో హర నాగాభరణాయ ప్రణవాయ ఢమ ఢమ ఢమరుక నాదానందాయ ఓం నమో నిటాలాక్షయా ఓం నమో భస్మాఙ్గాయ ఓం నమో హిమశైలావరణాయ ప్రమాదాయ ధిమి ధిమి తాండవకేళి లోలాయ సదాశివ సన్యాసీ తాపసి కైలాసవాసీ నీ పాదముద్రలు మోసీ పొంగిపోయినాదే పల్లె కాసీ హే సూపుల సుక్క నీ దారిగా సుక్కల తివాసీ నీదిగా సుడాసక్కని సామి దిగినాడు రా ఎసెయ్యిరా ఊరూవాడా దండోరా హే రంగుల హంగుల పొడ లేదు రా ఈడు జంగమ శంకర శివుడేనురా నిప్పు గొంతున నీలపు మచ్చ సాక్షిగా నీ తాపం శాపం తీర్చే వాడే రా పై పైకలా భైరాగిలా ఉంటాది రా ఆ లీలా లోకాల నెలే టోడు నీకు సాయం కాక పోడూ హే నీలోనే కొలువున్నోడు నిన్ను దాటి పోనే పోడూ ఓం నమఃశివా జై జై జై ఓం నమఃశివా జై జై జై ఓం నమఃశివా గో టూ ది ట్రాన్స్ అండ్ సే జై జై జై సింగ్ అలోంగ్ అండ్ సింగ్ శివ శంభో అల్ ది వే ఓం నమఃశివా జై జై జై హీల్ ది వరల్డ్ ఇస్ అల్ వీ ప్రే సేవ్ ఔర్ లీవ్స్ అండ్ టేక్ ఔర్ పెయిన్ అవే జై జై జై సింగ్ అలోంగ్ అండ్ సింగ్ శివ శంభో అల్ ది వే సదాశివ సన్యాసీ తాపసి కైలాసవాసీ నీ పాదముద్రలు మోసీ పొంగిపోయినాదే పల్లె కాస
9,Eswara,Devotional,2021,Devi Sri Prasad,ఈశ్వరా పరమేశ్వరా చూడరా ఇటు చూడరా రెండు కన్నుల మనిషి బతుకును గుండె కన్నుతో చూడరా ఎదుట పడనీ వేదనలను నుదిటి కన్నుతో చూడరా దారి ఎదో తీరం ఎదో గమనమేదో గమ్యమేదో లేత ప్రేమల లోతు ఎంతో లేని కన్నుతో చూడరా చీకటేదో వెలుతురేదో మంచి ఎదో మంట ఎదో లోకమెరుగని ప్రేమ కథని లోని కన్నుతో చూడరా నువ్వు రాసిన రాతలిచ్చట మార్చుతూ ఏమార్చుతుంటే నేల పైన వింతలన్నీ నింగి కన్నుతో చూడరా మసక బారిన కంటి పాపకి ముసుగు తీసే వెలుగు లాగ కాలమడిగిన కఠిన ప్రశ్నకు బదులువై ఎదురవ్వరా ఈశ్వరా పరమేశ్వరా చూడరా ఇటు చూడరా రెండు కన్నుల మనిషి బతుకును గుండె కన్నుతో చూడరా ఎదుట పడనీ వేదనలను నుదిటి కన్నుతో చూడరా దారి ఎదో తీరం ఎదో గమనమేదో గమ్యమేదో లేత ప్రేమల లోతు ఎంతో లేని కన్నుతో చూడరా చీకటేదో వెలుతురేదో మంచి ఎదో మంట ఎదో లోకమెరుగని ప్రేమ కథని లోని కన్నుతో చూడరా నువ్వు రాసిన రాతలిచ్చట మార్చుతూ ఏమార్చుతుంటే నేల పైన వింతలన్నీ నింగి కన్నుతో చూడరా మసక బారిన కంటి పాపకి ముసుగు తీసే వెలుగు లాగ కాలమడిగిన కఠిన ప్రశ్నకు బదులువై ఎదురవ్వరా ఈశ్వరా పరమేశ్వరా చూడరా ఇటు చూడరా
10,Jai Jai Ganesha,Devotional,2005,S.P.Balasubramanyam,జై గణపతి జై జై జై గణపతి ఓం జై గణపతి జై జై జై గణపతి ఓం జై గణపతి జై జై జై గణపతి ఓం జై గణపతి జై జై జై గణపతి ఓం జై గణపతి జై జై జై గణపతి ఓం జై గణపతి జై జై జై గణపతి ఓం జై గణపతి జై జై జై గణపతి ఓం జై గణపతి జై జై జై గణపతి ఓం జై గణపతి జై జై జై గణపతి ఓం జై గణపతి జై జై జై గణపపతి జై జై గణేశా జై కొడ్తా గణేశా జయములివ్వు బొజ్జ గణేశా గణేశా హాయ్ హాయ్ గణేశా అడిగేస్తా గణేశా అభయమివ్వు బుజ్జి గణేశా గణేశా లోకం నలుమూలల లేదయ్యా కులాసా దేశం పలువైపులా ఎదో రభస మోసం జనసంఖ్య ల ఉందయ్యా హమేషా పాపం హిమగిరుగా పెరిగెను తెలుసా చిట్టి ఎలుకను ఎత్తి గట్టి కుడుములు మెక్కి చిక్కు విడిపించగా నడిపించగా చెయ్యి తమాషా గణేశా ఘం గణపతి గణేశా ఘం గణపతి గణేశా ఘం ఘం ఘం ఘం గణపతి జై జై గణేశా జై కొడ్తా గణేశా జయములివ్వు బొజ్జ గణేశా గణేశా హాయ్ హాయ్ గణేశా అడిగేస్తా గణేశా అభయమివ్వు బుజ్జి గణేశా గణేశా లంబోదర శివ సుతాయ లంబోదర నీదే దయ లంబోదర శివ సుతాయ లంబోదర నీదే దయ లంబోదర శివ సుతాయ లంబోదర నీదే దయ లంబోదర శివ సుతాయ లంబోదర నీదే దయ నందేమో నాన్నకి సింహం మీ అమ్మ కి వాహనం ఐ ఉండ లేదా ఎలకేమో తమరికి న
